ID,Name,Concepticon_ID,Concepticon_Gloss,Russian_Gloss,Number
330_toe,TOE,1389,TOE,ПАЛЕЦ НОГИ,330
331_hoof,HOOF,152,HOOF,КОПЫТО,331
332_wing,WING,1257,WING,КРЫЛО,332
333_feather,FEATHER,1201,FEATHER,ПЕРО,333
334_chest,CHEST,1592,CHEST,ГРУДЬ,334
335_breast,BREAST,1402,BREAST,ГРУДЬ ЖЕНСКАЯ,335
336_nipple,NIPPLE,796,NIPPLE,СОСОК,336
337_udder,UDDER,154,UDDER,ВЫМЯ,337
338_navel,NAVEL,1838,NAVEL,ПУПОК,338
339_heart,HEART,1223,HEART,СЕРДЦЕ,339
340_lung,LUNG,688,LUNG,ЛЕГКОЕ,340
341_liver,LIVER,1224,LIVER,ПЕЧЕНЬ,341
342_kidney,KIDNEY,489,KIDNEY,ПОЧКА,342
343_spleen,SPLEEN,1744,SPLEEN,СЕЛЕЗЕНКА,343
344_stomach,STOMACH,819,STOMACH,ЖЕЛУДОК,344
345_belly,BELLY,1251,BELLY,ЖИВОТ,345
346_intestinesguts,"INTESTINES, GUTS",1991,"INTESTINES, GUTS",КИШКИ,346
347_gullet,GULLET,,GULLET,ПИЩЕВОД,347
348_fatofanimals,FAT OF ANIMALS,,FAT OF ANIMALS,ЖИР (ЧАСТЬ ЖИВОТНОГО),348
349_fatadj,FAT (ADJ),1279,FAT (ADJ),ЖИРНЫЙ,349
350_buttocks,BUTTOCKS,834,BUTTOCKS,ЯГОДИЦЫ,350
351_womb,WOMB,804,WOMB,МАТКА,351
352_vagina,VAGINA,1836,VAGINA,ВЛАГАЛИЩЕ,352
353_placenta,PLACENTA,,PLACENTA,ПЛАЦЕНТА,353
354_umbilicalcord,UMBILICAL CORD,2663,UMBILICAL CORD,ПУПОВИНА,354
355_testicles,TESTICLES,797,TESTICLES,ЯИЧКИ МУЖСКИЕ,355
356_penis,PENIS,1222,PENIS,ЧЛЕН МУЖСКОЙ,356
357_sperm,SPERM,1505,SPERM,СПЕРМА,357
358_breathe,BREATHE,1407,BREATHE,ДЫШАТЬ,358
359_yawn,YAWN,1028,YAWN,ЗЕВАТЬ,359
360_cough,COUGH,879,COUGH,КАШЛЯТЬ,360
361_sneeze,SNEEZE,1621,SNEEZE,ЧИХАТЬ,361
362_perspire,PERSPIRE,126,PERSPIRE,ПОТЕТЬ,362
363_sweat,SWEAT,125,SWEAT,ПОТ,363
364_spit,SPIT,1440,SPIT,ПЛЕВАТЬ,364
365_vomit,VOMIT,1278,VOMIT,БЛЕВАТЬ,365
366_belch,BELCH,,BELCH,ОТРЫГИВАТЬ,366
367_bite,BITE,1403,BITE,КУСАТЬ,367
368_lick,LICK,319,LICK,ЛИЗАТЬ,368
369_saliva,SALIVA,1503,SALIVA,СЛЮНА,369
370_sleep,SLEEP,1585,SLEEP,СПАТЬ,370
371_snore,SNORE,1983,SNORE,ХРАПЕТЬ,371
372_dream,DREAM,2374,DREAM,СНОВИДЕНИЕ,372
373_wakeup,WAKE UP,1602,WAKE UP,ПРОСЫПАТЬСЯ,373
374_breakwind,BREAK WIND,1159,BREAK WIND,ОСВОБОДИТЬСЯ ОТ ГАЗОВ,374
375_urinate,URINATE,592,URINATE,МОЧИТЬСЯ,375
376_defecate,DEFECATE,676,DEFECATE,ИСПРАЖНЯТЬСЯ,376
377_copulate,COPULATE,1785,COPULATE,СОВОКУПЛЯТЬСЯ,377
378_shiverfromcold,SHIVER (FROM COLD),52,SHIVER (FROM COLD),ДРОЖАТЬ (ОТ ХОЛОДА),378
379_shudder,SHUDDER,52,SHUDDER,ВЗДРАГИВАТЬ,379
380_bathe,BATHE,138,BATHE,МЫТЬСЯ,380
381_givebirth,GIVE BIRTH,1195,GIVE BIRTH,РОЖАТЬ,381
382_beborn,BE BORN,1090,BE BORN,РОЖДАТЬСЯ,382
383_pregnant,PREGNANT,1123,PREGNANT,БЕРЕМЕННАЯ,383
384_liveexist,"LIVE, EXIST",1422,"LIVE, EXIST","ЖИТЬ, СУЩЕСТВОВАТЬ",384
385_alive,ALIVE,3000,ALIVE,ЖИВОЙ,385
386_die,DIE,1494,DIE,УМИРАТЬ,386
387_dead,DEAD,1625,DEAD,МЕРТВЫЙ,387
388_kill,KILL,1417,KILL,УБИВАТЬ,388
389_corpseofhuman,CORPSE (OF HUMAN),767,CORPSE (OF HUMAN),ТРУП (ЧЕЛОВЕКА),389
390_carcassofanimal,CARCASS (OF ANIMAL),1770,CARCASS (OF ANIMAL),ТУША (ЖИВОТНОГО),390
391_burythedead,BURY (THE DEAD),,BURY (THE DEAD),ХОРОНИТЬ,391
392_shroud,SHROUD,,SHROUD,САВАН,392
393_grave,GRAVE,1773,GRAVE,МОГИЛА,393
394_tombstone,TOMBSTONE,,TOMBSTONE,МОГИЛЬНЫЙ КАМЕНЬ,394
395_strong,STRONG,785,STRONG,СИЛЬНЫЙ,395
396_healthy,HEALTHY,1364,HEALTHY,ЗДОРОВЫЙ,396
397_sick,SICK,1847,SICK,БОЛЬНОЙ,397
398_thinofperson,THIN (OF PERSON),1400,THIN (OF PERSON),ХУДОЙ,398
399_fever,FEVER,1534,FEVER,"ЖАР, ЛИХОРАДКА",399
400_wound,WOUND,1109,WOUND,РАНА,400
401_spot,SPOT,,SPOT,ПРЫЩ,401
402_furuncle,FURUNCLE,,FURUNCLE,"ЧИРЕЙ, НАРЫВ",402
403_blister,BLISTER,1584,BLISTER,МОЗОЛЬ,403
404_tumor,TUMOR,1903,TUMOR,ОПУХОЛЬ,404
405_swell,SWELL,1573,SWELL,ОПУХАТЬ,405
406_itch,ITCH,148,ITCH,"ЧЕСАТЬСЯ, ЗУДЕТЬ",406
407_pus,PUS,1808,PUS,ГНОЙ,407
408_scar,SCAR,497,SCAR,ШРАМ,408
409_hurtintrofbodypart,"HURT (INTR, OF BODY PART)",,"HURT (INTR, OF BODY PART)",БОЛЕТЬ (О ЧАСТИ ТЕЛА),409
410_healtr,HEAL (TR),499,HEAL (TR),ЛЕЧИТЬ,410
411_poison,POISON,655,POISON,ЯД,411
412_tired,TIRED,1757,TIRED,УСТАЛЫЙ,412
413_gettired,GET TIRED,1996,GET TIRED,УСТАВАТЬ,413
414_rest,REST,,REST,ОТДЫХАТЬ,414
415_lazy,LAZY,1564,LAZY,ЛЕНИВЫЙ,415
416_bald,BALD,1125,BALD,ЛЫСЫЙ,416
417_lame,LAME,320,LAME,ХРОМОЙ,417
418_golimping,GO LIMPING,366,GO LIMPING,ХРОМАТЬ,418
419_deaf,DEAF,996,DEAF,ГЛУХОЙ,419
420_mute,MUTE,1666,MUTE,НЕМОЙ,420
421_blind,BLIND,1653,BLIND,СЛЕПОЙ,421
422_intoxicated,INTOXICATED,1463,INTOXICATED,ПЬЯНЫЙ,422
423_naked,NAKED,590,NAKED,ГОЛЫЙ,423
424_eattr,EAT (TR),1336,EAT (TR),ЕСТЬ (ПЕРЕХ.),424
425_eatintr,EAT (INTR),1336,EAT (INTR),ЕСТЬ (НЕПЕРЕХ.),425
426_feedcattle,FEED (CATTLE),739,FEED (CATTLE),КОРМИТЬ (СКОТИНУ),426
427_food,FOOD,256,FOOD,ПИЩА,427
428_ripen,RIPEN,179,RIPEN,СОЗРЕВАТЬ,428
429_rot,ROT,2907,ROT,ГНИТЬ,429
430_rotten,ROTTEN,,ROTTEN,ГНИЛОЙ,430
431_mildew,MILDEW,,MILDEW,ПЛЕСЕНЬ,431
432_witherofflower,WITHER (OF FLOWER),,WITHER (OF FLOWER),ВЯНУТЬ (О ЦВЕТКЕ),432
433_drink,DRINK,1401,DRINK,ПИТЬ,433
434_drinksip,DRINK (SIP),1401,DRINK (SIP),ПИТЬ (ГЛОТКАМИ),434
435_behungry,BE HUNGRY,1533,BE HUNGRY,БЫТЬ ГОЛОДНЫМ,435
436_bethirsty,BE THIRSTY,847,BE THIRSTY,ХОТЕТЬ ПИТЬ,436
437_suckv,SUCK (V),1421,SUCK (V),СОСАТЬ,437
438_chewv,CHEW (V),321,CHEW (V),ЖЕВАТЬ,438
439_swallowv,SWALLOW (V),897,SWALLOW (V),ГЛОТАТЬ,439
440_gnawv,GNAW (V),2706,GNAW (V),ГРЫЗТЬ,440
441_boiltrfood,"BOIL (TR, FOOD)",,"BOIL (TR, FOOD)",ВАРИТЬ,441
442_boilintroffood,"BOIL (INTR, OF FOOD)",,"BOIL (INTR, OF FOOD)",ВАРИТЬСЯ,442
443_boiltrofwater,"BOIL (TR, OF WATER)",2492,"BOIL (TR, OF WATER)",КИПЯТИТЬ,443
444_boilintrofwater,"BOIL (INTR, OF WATER)",792,"BOIL (INTR, OF WATER)",КИПЕТЬ,444
445_frytrfood,"FRY (TR, FOOD)",991,"FRY (TR, FOOD)",ЖАРИТЬ,445
446_baketrofbread,"BAKE (TR, OF BREAD)",183,"BAKE (TR, OF BREAD)",ПЕЧЬ (ХЛЕБ),446
447_lidofcauldron,LID (OF CAULDRON),2319,LID (OF CAULDRON),КРЫШКА (КОТЛА),447
448_cauldronmetal,CAULDRON (METAL),1462,CAULDRON (METAL),КОТЕЛ (МЕТАЛЛИЧЕСКИЙ),448
449_claypot,CLAY POT,2055,CLAY POT,ГОРШОК (ГЛИНЯНЫЙ),449
450_bowl,BOWL,1530,BOWL,МИСКА,450
451_plate,PLATE,480,PLATE,ТАРЕЛКА,451
452_dishes,DISHES,,DISHES,ПОСУДА,452
453_pitcherforcarryingwater,PITCHER FOR CARRYING WATER,120,PITCHER FOR CARRYING WATER,КУВШИН ДЛЯ НОШЕНИЯ ВОДЫ,453
454_spoon,SPOON,1378,SPOON,ЛОЖКА,454
455_fork,FORK,1302,FORK,ВИЛКА,455
456_ladle,LADLE,2657,LADLE,ПОЛОВНИК,456
457_skimmer,SKIMMER,,SKIMMER,ШУМОВКА,457
458_flourmeasure,FLOUR MEASURE,,FLOUR MEASURE,МЕРКА ДЛЯ МУКИ (СРЕДНЯЯ),458
459_sieven,SIEVE (N),,SIEVE (N),СИТО,459
460_peeltroffruit,"PEEL (TR, OF FRUIT)",275,"PEEL (TR, OF FRUIT)",ЧИСТИТЬ (ФРУКТЫ),460
461_sievev,SIEVE (V),86,SIEVE (V),ПРОСЕИВАТЬ,461
462_strain,STRAIN,940,STRAIN,ПРОЦЕЖИВАТЬ,462
463_mixtr,MIX (TR),2017,MIX (TR),СМЕШИВАТЬ,463
464_mixintr,MIX (INTR),2017,MIX (INTR),СМЕШИВАТЬСЯ,464
465_stir,STIR,696,STIR,РАЗМЕШИВАТЬ,465
466_bread,BREAD,1368,BREAD,ХЛЕБ,466
467_friedgrainflour,FRIED GRAIN FLOUR,,FRIED GRAIN FLOUR,ТОЛОКНО,467
468_malt,MALT,,MALT,СОЛОД,468
469_friedgrain,FRIED GRAIN,,FRIED GRAIN,ЖАРЕНОЕ ЗЕРНО,469
470_chudu,CHUDU,,CHUDU,ЧУДУ,470
471_dough,DOUGH,273,DOUGH,ТЕСТО,471
472_knead,KNEAD,274,KNEAD,МЕСИТЬ (ТЕСТО),472
473_flour,FLOUR,1594,FLOUR,МУКА,473
474_grindflour,GRIND (FLOUR),1033,GRIND (FLOUR),МОЛОТЬ (МУКУ),474
475_mill,MILL,636,MILL,МЕЛЬНИЦА,475
476_meat,MEAT,634,MEAT,МЯСО,476
477_sausage,SAUSAGE,1874,SAUSAGE,КОЛБАСА,477
478_broth,BROTH,,BROTH,БУЛЬОН,478
479_khinkal,KHINKAL,,KHINKAL,ХИНКАЛ,479
480_grape,GRAPE,920,GRAPE,ВИНОГРАД,480
481_hazelnut,HAZELNUT,191,HAZELNUT,ОРЕХ ЛЕСНОЙ,481
482_walnut,WALNUT,2042,WALNUT,ОРЕХ ГРЕЦКИЙ,482
483_urbech,URBECH,,URBECH,УРБЕЧ,483
484_grease,GREASE,2551,GREASE,ЖИР (КУЛИНАРНЫЙ ПРОДУКТ),484
485_maw,MAW,,MAW,СЫЧУГ,485
486_giblets,GIBLETS,,GIBLETS,ПОТРОХА,486
487_salt,SALT,1274,SALT,СОЛЬ,487
488_honey,HONEY,942,HONEY,МЁД,488
489_sugar,SUGAR,862,SUGAR,САХАР,489
490_milkn,MILK (N.),635,MILK (N.),МОЛОКО,490
491_milkv,MILK (V.),93,MILK (V.),ДОИТЬ,491
492_cheese,CHEESE,1569,CHEESE,СЫР,492
493_whey,WHEY,,WHEY,СЫВОРОТКА,493
494_foremilk,FOREMILK,,FOREMILK,МОЛОЗИВО,494
495_sourcream,SOUR CREAM,,SOUR CREAM,СМЕТАНА,495
496_butter,BUTTER,1245,BUTTER,СЛИВОЧНОЕ МАСЛО,496
497_wine,WINE,1524,WINE,ВИНО,497
498_fermenteddrink,FERMENTED DRINK,,FERMENTED DRINK,ХМЕЛЬНОЙ НАПИТОК,498
499_fermentofdough,FERMENT (OF DOUGH),,FERMENT (OF DOUGH),БРОДИТЬ (О ТЕСТЕ),499
500_curdleintrofmilk,"CURDLE (INTR, OF MILK)",,"CURDLE (INTR, OF MILK)",СВЕРТЫВАТЬСЯ (О МОЛОКЕ),500
