"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"46",,"46",,"ТАЯТЬ","MELT (INTR)","pfv",,,,"бацӀиб","b-acʼ-ib","CL3-R(melt)-AOR[3]","bat͡sʼib",,,,,,,,,,,,,,,"itsari"
"46",,"46",,,,"ipfv","aux",,,"бицӀар","b-icʼ-ar","CL3-R(melt)-HAB.3","bit͡sʼar",,,,,,,,,,,,,,,"itsari"
"47",,"47",,"РАСТАПЛИВАТЬ","MELT (TR)","pfv",,,,"?",,,,,,,,,,,,,,,,,,"itsari"
"47",,"47",,,,"ipfv","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"48",,"48",,"ОГОНЬ","FIRE",,,,,"цӀа","cʼa","R(fire)","t͡sʼa",,,,,,,,,,,,,,,"itsari"
"48",,"48",,,,"pl","aux",,,"цӀами","cʼa-mi","R(fire)-PL",,,,,,,,,,,,,,,,"itsari"
"48",,"48",,,,"dat","aux",,,"цӀалий","cʼa-li-j","R(fire)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"49",,"49",,"ДЫМ","SMOKE",,,,,"жергва ","žergʷa","R(smoke)","ʒergʷa",,,,,,,,,,,,,,,"itsari"
"49",,"49",,,,"pl","aux",,,"жергвин","žergʷ-in","R(smoke)-PL",,,,,,,,,,,,,,,,"itsari"
"50","3","50",,"ЗОЛА","ASH",,,,,"хъвясса ","qʷaˁsːa","R(ashes)","q͡χʰʷaˁsːa","пыль, зола","dust, ashes",,,,,,,,,,,,,"itsari"
"51",,"51",,"ГОРЕТЬ","BURN (INTR)","ipfv",,,,"алшан","alš-an","R(burn)-HAB.3","ʔalʃan",,,,,,,,,,,,,,,"itsari"
"51",,"51",,,,"pfv","aux",,,"?",,,,,,,,,,,,,,,,,"<strong>add verb for ‘burn completely’ (сгореть)</strong>","itsari"
"52",,"52",,"ЖЕЧЬ","BURN (TR)","pfv",,,,"биккуб","b-ikː-ub","CL3-R(burn)-AOR[3]","bikːub","сжечь","burn down",,,,,,,,,,,,,"itsari"
"52",,"52",,,,"ipfv","aux",,,"икку","ikː-u","R(burn)-HAB.3","ʔikːu",,,,,,,,,,,,,,,"itsari"
"53",,"53",,"ЗАГОРАТЬСЯ","START BURNING","pfv",,,,"ашун","aš-un","R(burn)-AOR[3]","ʔaʃun","загореться","catch fire",,,,,,,,,,,,,"itsari"
"53",,"53",,,,"ipfv","aux",,,"?",,,,,,,,,,,,,,,,,"<strong>probably </strong><i><strong>alšan</strong></i><strong>, but needs checking</strong>","itsari"
"54",,"54",,"ЗАЖИГАТЬ","LIGHT","pfv",,,,"?",,,,,,,,,,,,,,,,,,"itsari"
"54",,"54",,,,"ipfv","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"55",,"55",,"ГАСНУТЬ","BECOME EXTINGUISHED","pfv",,,,"бишун","b-iš-un","CL3-R(become.extinguished)-AOR[3]","biʃun",,,,,,,,,,,,,,,"itsari"
"55",,"55",,,,"ipfv","aux",,,"билшан","b-ilš-an","CL3-R(become.extinguished)-HAB.3","bilʃan",,,,,,,,,,,,,,,"itsari"
"56",,"56",,"ТУШИТЬ","EXTINGUISH","pfv",,,,"бишахъун","b-iš-aq-un","CL3-R(become.extinguished)-CAUS-AOR[3]","biʃaq͡χʰun",,,,,,,,,,,,,,"<strong>check aor. form</strong>","itsari"
"56",,"56",,,,"ipfv","aux",,,"?",,,,,,,,,,,,,,,,,"<strong>check hab.form</strong>","itsari"
"57",,"57",,"ОСТЫВАТЬ","BECOME COLD","pfv",,,,"бяххиӀб","b-aˁχː-iˁb","CL3-R(become.cold)-AOR[3]","baˁχːˁiˁb",,,,,,,,,,,,,,,"itsari"
"57",,"57",,,,"ipfv","aux",,,"биӀххяр","b-iˁχː-aˁr","CL3-R(become.cold)-HAB.3","biˁχːˁaˁr",,,,,,,,,,,,,,,"itsari"
"58",,"58",,"ДРОВА","FIREWOOD",,,,,"урцул","urcul","R(firewood)","urt͡sʰul",,,,,,,,,,,,"NPL",,,"itsari"
"58",,"58",,,,"pl","aux",,,"урцулти","urcul-ti","R(firewood)-PL",,,,,,,,,,,,,,"Rarely used, for different types of firewood",,"itsari"
"59",,"59",,"УГОЛЬ","CHARCOAL",,,,,"кка","kːa","R(charcoal)","kːa",,,,,,,,,,,,"NPL",,,"itsari"
"59",,"59",,,,"dat","aux",,,"ккалий","kːa-li-j","R(charcoal)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"60",,"60",,"УГОЛЁК","CHARCOAL PIECE","sg",,,,"кьялта","qʼaˁlta","R(charcoal.piece)","qʼˁaˁltʰa",,,,,,,,,,,,,,,"itsari"
"60",,"60",,,,"pl","aux",,,"кьялтин","qʼaˁlt-in","R(charcoal.piece)-PL","qʼˁaˁltʰin",,,,,,,,,,,,,,,"itsari"
"61",,"61",,"ГОРЯЩИЙ УГОЛЬ","EMBERS",,,,,"эбчча ","ebčːa","R(embers)","ʔebt͡ʃːa",,,,,,,,,,,,"NPL",,,"itsari"
"62",,"62",,"КИЗЯК","DUNG FUEL","sg",,,,"кубарт","kubart","R(dung.fuel)","kubartʰ",,,,,,,,,,,,,,,"itsari"
"62",,"62",,,,"pl","aux",,,"кубарти","kubart-i","R(dung.fuel)-PL","kubartʰ-i",,,,,,,,,,,,,,,"itsari"
"63",,"63",,"ЧЕЛОВЕК","PERSON","sg",,,,"?",,,,,,,,,,,,,,,,,,"itsari"
"63",,"63",,,,"pl","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"64",,"64",,"МУЖЧИНА","MAN","sg",,,,"адми","admi","R(man)","ʔadmi",,,,,,,,,,,,,,,"itsari"
"64",,"64",,,,"pl","aux",,,"адамти","adam-ti","R(man)-PL","ʔadam-tʰi",,,,,,,,,,,,,,,"itsari"
"65",,"65",,"ЖЕНЩИНА","WOMAN","sg",,,,"хьхьунул","xːunul","R(woman)","xːunul","женщина, жена","woman, wife",,,,,,,,,,,,,"itsari"
"65",,"65",,,,"pl","aux",,,"хьхьунри","xːun-ri","R(woman)-PL","xːunri",,,,,,,,,,,,,,,"itsari"
