"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"69",,"69",,,,"pl","aux",,,"йошибол",,,,,,,,,,,,,,,,,,"zilo"
"70",,"70",,"РЕБЁНОК","CHILD","sg",,,,"мочӀи",,,,,,,,,,,,,,,,,,"zilo"
"70",,"70",,,,"pl","aux",,,"мочӀил",,,,,,,,,,,,,,,,,,"zilo"
"71",,"71",,"МЛАДЕНЕЦ","INFANT","sg",,,,"мичӀи мочӀи",,,,,,,,,,,,,,,,,,"zilo"
"71",,"71",,,,"pl","aux",,,"мичӀол мочӀил",,,,,,,,,,,,,,,,,,"zilo"
"72",,"72",,"МУЖ","HUSBAND","sg",,,,"кӀунтӀа",,,,,,,,,,,,,,,,,,"zilo"
"72",,"72",,,,"pl","aux",,,"кӀунтӀобил",,,,,,,,,,,,,,,,,,"zilo"
"73","67","73",,"ЖЕНА","WIFE","sg",,,,"гьорчӀи",,,,,,,,,,,,,,,,,,"zilo"
"73",,"73",,,,"pl","aux",,,"гьорчӀобил",,,,,,,,,,,,,,,,,,"zilo"
"74",,"74",,"НЕВЕСТА","BRIDE","sg",,,,"бахӀарай",,,,,,,,,,,,,,,,,,"zilo"
"74",,"74",,,,"pl","aux",,,"бахӀардул",,,,,,,,,,,,,,,,,,"zilo"
"75",,"75",,"ЖЕНИХ","BRIDEGROOM","sg",,,,"бахӀарав",,,,,,,,,,,,,,,,,,"zilo"
"75",,"75",,,,"pl","aux",,,"бахӀардул",,,,,,,,,,,,,,,,,,"zilo"
"76",,"76",,"ЖЕНИТЬСЯ","MARRY (AS MAN)",,,,,"йичон",,,,,,,,,,,,,,,,,,"zilo"
"77",,"77",,"ВЫЙТИ.ЗАМУЖ","MARRY (AS MAN)",,,,,"кӀунтӀуй йиъинну",,,,,,,,,,,,,,,,,,"zilo"
"78",,"78",,"СВАДЬБА","WEDDING","sg",,,,"бертин",,,,,,,,,,,,,,,,,,"zilo"
"78",,"78",,,,"pl","aux",,,"бертимол",,,,,,,,,,,,,,,,,,"zilo"
"79",,"79",,"ОТЕЦ","FATHER","sg",,,,"дада",,,,,,,,,,,,,,,,,"<strong>which is primary?</strong>","zilo"
"79",,"79",,,,"pl","aux",,,"дадалал",,,,,,,,,,,,,,,,,,"zilo"
"2003",,"79",,"ОТЕЦ","FATHER","sg",,,,"има",,,,,,,,,,,,,,,,,,"zilo"
"2003",,"79",,,,"pl","aux",,,"имадул",,,,,,,,,,,,,,,,,,"zilo"
"80",,"80",,"МАТЬ","MOTHER","sg",,,,"баба",,,,,,,,,,,,,,,,,,"zilo"
"80",,"80",,,,"pl","aux",,,"бабалал",,,,,,,,,,,,,,,,,,"zilo"
"2004",,"80",,"МАТЬ","MOTHER","sg",,,,"ила",,,,,,,,,,,,,,,,,,"zilo"
"2004",,"80",,,,"pl","aux",,,"илобил",,,,,,,,,,,,,,,,,,"zilo"
"81","68","81",,"СЫН","SON","sg",,,,"вошо",,,,,,,,,,,,,,,,,,"zilo"
"81",,"81",,,,"pl","aux",,,"вошул",,,,,,,,,,,,,,,,,,"zilo"
"82","69","82",,"ДОЧЬ","DAUGHTER","sg",,,,"йоши",,,,,,,,,,,,,,,,,,"zilo"
"82",,"82",,,,"pl","aux",,,"йошибол",,,,,,,,,,,,,,,,,,"zilo"
"83",,"83",,"БРАТ","BROTHER","sg",,,,"воцци",,,,,,,,,,,,,,,,,,"zilo"
"83",,"83",,,,"pl","aux",,,"воццул",,,,,,,,,,,,,,,,,,"zilo"
"84",,"84",,"СЕСТРА","SISTER","sg",,,,"йоцци",,,,,,,,,,,,,,,,,,"zilo"
"84",,"84",,,,"pl","aux",,,"йоццибол",,,,,,,,,,,,,,,,,,"zilo"
"85",,"85",,"БЛИЗНЕЦЫ","TWINS",,,,,"чӀеллӀисол",,,,,,,,,,,,,,,,,,"zilo"
"86",,"86",,"ДЕДУШКА (ОТЕЦ ОТЦА)","GRANDFATHER (FATHER OF FATHER)","sg",,,,"вохор дада",,,,,,,,,,,,,,,,,"<strong>which is primary?</strong>","zilo"
"86",,"86",,,,"pl","aux",,,"вохорол дадалал",,,,,,,,,,,,,,,,,,"zilo"
"2005",,"86",,"ДЕДУШКА (ОТЕЦ ОТЦА)","GRANDFATHER (FATHER OF FATHER)","sg",,,,"вечуха дада",,,,,,,,,,,,,,,,,,"zilo"
"2005",,"86",,,,"pl","aux",,,"вечухол дадалал",,,,,,,,,,,,,,,,,,"zilo"
"87","86","87",,"ДЕДУШКА (ОТЕЦ МАТЕРИ)","GRANDFATHER (FATHER OF MOTHER)","sg",,,,"вохор дада",,,,,,,,,,,,,,,,,,"zilo"
"87",,"87",,,,"pl","aux",,,"вохорол дадалал",,,,,,,,,,,,,,,,,,"zilo"
"2006","2005","87",,"ДЕДУШКА (ОТЕЦ МАТЕРИ)","GRANDFATHER (FATHER OF MOTHER)","sg",,,,"вечуха дада",,,,,,,,,,,,,,,,,,"zilo"
"2006",,"87",,,,"pl","aux",,,"вечухол дадалал",,,,,,,,,,,,,,,,,,"zilo"
"88",,"88",,"БАБУШКА (МАТЬ ОТЦА)","GRANDMOTHER (MOTHER OF FATHER)","sg",,,,"йохор баба",,,,,,,,,,,,,,,,,"<strong>which is primary?</strong>","zilo"
"88",,"88",,,,"pl","aux",,,"йохорол бабалал",,,,,,,,,,,,,,,,,,"zilo"
"2007",,"88",,"БАБУШКА (МАТЬ ОТЦА)","GRANDMOTHER (MOTHER OF FATHER)","sg",,,,"йечуха баба",,,,,,,,,,,,,,,,,,"zilo"
"2007",,"88",,,,"pl","aux",,,"йечухол бабалал",,,,,,,,,,,,,,,,,,"zilo"
"89","88","89",,"БАБУШКА (МАТЬ МАТЕРИ)","GRANDMOTHER (MOTHER OF MOTHER)","sg",,,,"йохор баба",,,,,,,,,,,,,,,,,,"zilo"
"89",,"89",,,,"pl","aux",,,"йохорол бабалал",,,,,,,,,,,,,,,,,,"zilo"
"2008","2007","89",,"БАБУШКА (МАТЬ МАТЕРИ)","GRANDMOTHER (MOTHER OF MOTHER)","sg",,,,"йечуха баба",,,,,,,,,,,,,,,,,,"zilo"
"2008",,"89",,,,"pl","aux",,,"йечухол бабалал",,,,,,,,,,,,,,,,,,"zilo"
"90",,"90",,"ВНУК (СЫН СЫНА)","GRANDSON (SON OF SON)","sg",,,,"вошув вошо",,,,,,,,,,,,,,,,,,"zilo"
"90",,"90",,,,"pl","aux",,,"вошувул вошул",,,,,,,,,,,,,,,,,,"zilo"
"91",,"91",,"ВНУК (СЫН ДОЧЕРИ)","GRANDSON (SON OF DAUGHTER)","sg",,,,"йошулӀи вошо",,,,,,,,,,,,,,,,,,"zilo"
"91",,"91",,,,"pl","aux",,,"йошулӀол вошул",,,,,,,,,,,,,,,,,,"zilo"
"92",,"92",,"ВНУЧКА (ДОЧЬ СЫНА)","GRANDDAUGHTER (DAUGHTER OF SON)","sg",,,,"вошув йоши",,,,,,,,,,,,,,,,,,"zilo"
"92",,"92",,,,"pl","aux",,,"вошувул йошибол",,,,,,,,,,,,,,,,,,"zilo"
